Concept,ImageNet IDs,ImageNet classes,Features
cheetah,293,cheetah chetah Acinonyx jubatus,"a_carnivore, a_cat, a_mammal, an_animal, beh_-_hunts, beh_-_runs_fast, has_4_legs, has_black_spots, hunted_by_people, is_fast, is_furry, is_yellow, lives_in_Africa"
cherry,,,"a_fruit, eaten_in_pies, eaten_in_summer, eg_-_maraschino, grows_on_trees, has_a_pit, has_a_stem, is_delicious, is_red, is_round, is_small, tastes_sweet"
chickadee,19,chickadee,"a_baby_bird, a_bird, an_animal, beh_-_chirps, beh_-_flies, beh_-_lays_eggs, beh_-_sings, has_a_beak, has_feathers, has_feet, has_wings, is_black, is_brown, is_small, is_yellow"
chicken,83,prairie chicken prairie grouse prairie fowl,"a_bird, an_animal, beh_-_cannot_fly, beh_-_clucks, beh_-_eats, beh_-_eats_grain, beh_-_flies, beh_-_lays_eggs, beh_-_pecks, eaten_by_frying, has_a_beak, has_feathers, has_legs, has_wings, is_domestic, is_edible, is_loud, is_stupid, lives_in_coops, lives_on_farms"
chimp,367,chimpanzee chimp Pan troglodytes,"a_mammal, a_relative_of_humans, an_animal, beh_-_climbs, beh_-_climbs_trees, beh_-_eats, beh_-_eats_bananas, beh_-_walks, has_fur, has_hair, is_brown, is_cute, is_intelligent, is_smart, lives_in_jungles, lives_in_zoos, used_in_experiments"
chipmunk,,,"a_mammal, an_animal, associated_with_cartoons, beh_-_climbs_trees, beh_-_eats_nuts, has_a_tail, has_stripes, is_brown, is_cute, is_fast, is_furry, is_small, is_white, lives_in_trees"
chisel,,,"a_tool, has_a_handle, is_sharp, made_of_metal, requires_a_hammer, used_for_art, used_for_carving, used_for_rocks, used_for_sculpting, used_for_wood_working"
church,497,church church building,"a_building, associated_with_religion, has_a_congregation, has_a_cross, has_an_alter, has_clergy, has_seats, has_stained_glass_windows, is_large, is_quiet, used_for_praying, used_for_sermons, used_for_weddings, used_for_worshipping, used_on_Sundays"
cigar,,,"causes_cancer, inbeh_-_produces_smoke, is_brown, is_expensive, is_large, is_long, is_smelly, is_thick, made_in_Cuba, made_of_tobacco, used_by_smoking"
cigarette,,,"causes_cancer, causes_disease, has_a_filter, has_nicotine, inbeh_-_produces_smoke, is_addictive, is_not_healthy, is_round, is_smelly, is_white, made_of_tobacco, requires_a_lighter, used_by_smoking"
clam,,,"a_seafood, an_animal, has_a_shell, has_pearls, is_edible, is_hard, lives_in_oceans, lives_in_water"
clamp,,,"a_tool, a_vice, made_of_metal, made_of_steel, used_by_tightening, used_for_carpentry, used_for_holding, used_for_holding_things_together, used_for_securing, used_for_surgery"
clarinet,,,"a_musical_instrument, has_keys, has_reeds, inbeh_-_produces_music, inbeh_-_produces_notes, is_black, is_long, made_of_metal, made_of_wood, used_by_blowing_air_through, used_in_bands, used_in_orchestras, used_with_fingers"
cloak,501,cloak,"a_cape, a_coat, clothing, has_a_hood, is_black, is_long, is_warm, worn_over_clothes"
clock,"409, 530, 892","analog clock, digital clock, wall clock","a_watch, eg_-_digital, found_on_walls, has_a_face, has_an_alarm, has_batteries, has_hands, has_numbers, inbeh_-_ticks, is_electrical, is_round, requires_winding, used_for_keeping_time, used_for_telling_time"
closet,"495, 894","china cabinet china closet, wardrobe closet press","a_space, found_in_bedrooms, found_in_hallways, has_doors, has_hangers, has_hanging_bars, has_shelves, is_dark, is_messy, is_small, used_for_storage, used_for_storing_clothing, used_for_storing_shoes"
coat,"568, 617, 869","fur coat, lab coat laboratory coat, trench coat","clothing, different_colours, has_a_hood, has_a_zipper, has_buttons, has_pockets, has_sleeves, is_long, is_warm, made_of_cotton, made_of_different_materials, made_of_fur, made_of_leather, made_of_wool, worn_for_covering, worn_for_protection, worn_for_the_cold, worn_for_warmth, worn_for_winter"
cockroach,314,cockroach roach,"an_insect, beh_-_flies, found_in_houses, has_a_shell, has_many_legs, is_black, is_brown, is_dirty, is_hard, is_large, is_small, is_ugly, lives_in_dirty_places, requires_extermination"
coconut,,,"a_fruit, eaten_as_meat, grows_in_warm_climates, grows_on_palm_trees, grows_on_trees, has_a_brown_outside, has_a_hard_shell, has_a_shell, has_an_inside, has_an_outside, has_hair, has_milk, is_brown, is_edible, is_hard, is_round, is_tropical, is_white, is_white_inside, tastes_good, tastes_sweet"
cod,,,"a_fish, beh_-_swims, has_fins, has_gills, has_scales, inbeh_-_gets_caught, is_edible, lives_in_Atlantic, lives_in_water"
coin,,,"different_sizes, has_value, is_round, is_shiny, is_small, made_of_metal, made_of_silver, used_as_money, used_for_buying_items, used_for_collecting, used_for_currency"
colander,,,"a_utensil, found_in_kitchens, has_holes, made_of_metal, made_of_plastic, used_for_straining"
comb,,,"different_colours, found_in_bathrooms, found_in_hair_salons, has_teeth, is_small, is_thin, made_of_metal, made_of_plastic, used_by_humans, used_for_grooming, used_for_hair, used_for_styling"
cork,,,"comes_from_trees, is_brown, made_of_wood, used_for_message_boards, used_for_sealing, used_for_sealing_bottles, used_for_sealing_wine_bottles"
corkscrew,512,corkscrew bottle screw,"found_in_bars, found_in_kitchens, has_a_curly_end, has_a_handle, has_a_screw_end, made_of_metal, used_by_twisting, used_for_opening_bottles, used_for_opening_wine_bottles, used_for_removing_corks"
corn,987,corn,"a_vegetable, comes_on_cobs, eaten_as_popcorn, eaten_with_butter, grows_in_fields, has_ears, has_husks, has_kernels, has_stalks, is_edible, is_harvested, is_yellow, tastes_sweet"
cottage,,,"a_house, associated_with_cheese, associated_with_fairy_tales, found_in_forests, found_in_the_country, has_a_fireplace, has_a_roof, has_windows, is_small, made_of_wood, used_as_a_house, used_for_living_in, used_for_vacations"
couch,831,studio couch day bed,"associated_with_couch_potato, found_in_living_rooms, furniture, has_4_legs, has_armrests, has_cushions, has_legs, has_pillows, is_comfortable, is_heavy, is_large, is_soft, made_of_leather, made_of_material, used_by_opening_into_a_bed, used_by_sitting_on, used_for_relaxing, used_for_seating_many_people, used_for_sleeping, used_for_watching_television"
cougar,286,cougar puma catamount mountain lion painter panther Felis concolor,"a_cat, a_mammal, a_predator, a_relative_of_cats, an_animal, beh_-_eats, beh_-_eats_animals, has_4_legs, has_a_long_tail, has_a_tail, has_claws, has_fur, has_teeth, is_brown, is_dangerous, is_fast, is_large, is_vicious, is_wild, lives_in_forests, lives_in_jungles, lives_in_mountains, lives_in_wilderness"
cow,,,"a_mammal, an_animal, beh_-_eats, beh_-_eats_grass, beh_-_moos, beh_-_produces_manure, beh_-_produces_milk, eaten_as_beef, eaten_as_meat, has_4_legs, has_an_udder, has_eyes, has_legs, is_black, is_brown, is_domestic, is_large, is_smelly, is_stupid, is_white, lives_on_farms, used_for_producing_milk"
coyote,272,coyote prairie wolf brush wolf Canis latrans,"a_carnivore, a_dog, a_mammal, a_wolf, an_animal, beh_-_howls, beh_-_hunts, has_4_legs, has_a_tail, has_sharp_teeth, has_teeth, hunted_by_people, is_furry, lives_in_deserts, lives_in_forests, lives_in_packs, lives_in_wilderness"
crab,"118, 119, 120, 121, 125","Dungeness crab Cancer magister, rock crab Cancer irroratus, fiddler crab, king crab Alaska crab Alaskan king crab Alaska king crab Paralithodes camtschatica, hermit crab","a_crustacean, a_seafood, an_animal, beh_-_walks_sideways, has_6_legs, has_a_hard_shell, has_claws, has_legs, has_pinchers, is_edible, is_red, is_small, lives_in_oceans, lives_in_water, lives_on_the_sand, tastes_good"
cranberry,,,"a_berry, a_fruit, eaten_at_Christmas, eaten_at_Thanksgiving, eaten_in_sauces, eaten_with_turkey, grows_on_bushes, has_skin, is_red, is_small, tastes_sour, tastes_sweet, tastes_tart, used_for_juice"
crane_(machine),,,"a_machine, is_heavy, is_large, is_powerful, is_yellow, made_of_metal, requires_operators, used_for_building, used_for_construction, used_for_lifting, used_for_moving_things"
crayon,,,"comes_in_boxes, different_colours, is_breakable, is_colourful, is_meltable, made_by_Crayola, made_of_wax, used_by_children, used_for_colouring, used_for_colouring_books, used_for_drawing, used_for_drawing_pictures, used_for_writing"
crocodile,49,African crocodile Nile crocodile Crocodylus niloticus,"a_reptile, an_animal, beh_-_eats_animals, beh_-_eats_people, beh_-_lays_eggs, beh_-_swims, has_4_legs, has_a_tail, has_powerful_jaws, has_scales, has_teeth, is_dangerous, is_green, is_large, is_long, lives_in_swamps, lives_in_water"
crossbow,,,"a_weapon, has_a_string, is_dangerous, made_of_wood, requires_arrows, used_by_firing_arrows, used_for_hunting, used_for_killing"
crow,,,"a_bird, a_scavenger, beh_-_caws, beh_-_eats, beh_-_flies, beh_-_squawks, has_a_beak, has_feathers, has_wings, is_black, is_large, is_loud, is_ugly"
crowbar,,,"a_tool, a_weapon, is_black, is_hard, is_heavy, is_long, made_of_metal, used_by_thieves, used_for_breaking_things, used_for_injuring, used_for_opening_things, used_for_prying_things_open"
crown,,,"associated_with_pageants, has_jewels, is_expensive, is_heavy, is_round, made_of_gold, made_of_silver, symbol_of_power, symbol_of_royalty, symbol_of_status, worn_by_kings, worn_by_queens, worn_by_royalty, worn_on_the_head"
cucumber,943,cucumber cuke,"a_vegetable, eaten_as_pickles, eaten_in_salads, grows_in_gardens, grows_on_vines, has_an_inside, has_green_skin, has_seeds, has_skin, is_cool, is_crunchy, is_cylindrical, is_edible, is_green, is_long, is_white_inside"
cup,"647, 968","measuring cup, cup","a_dish, a_mug, different_colours, different_shapes, found_in_kitchens, has_a_handle, has_patterns, is_breakable, made_of_ceramic, made_of_china, made_of_glass, made_of_plastic, made_of_porcelain, part_of_a_set_of_dishes, used_for_baking, used_for_coffee, used_for_drinking, used_for_holding_liquids, used_for_measuring, used_for_tea, used_with_saucers"
cupboard,,,"found_in_kitchens, has_doors, has_handles, has_shelves, made_of_wood, used_for_storage, used_for_storing_cans, used_for_storing_cups, used_for_storing_dishes, used_for_storing_food"
curtains,,,"different_colours, is_decorative, is_long, made_of_material, used_by_closing, used_by_opening, used_for_covering, used_for_covering_windows, used_for_keeping_out_light, used_for_keeping_out_light/sun, used_for_keeping_out_sun, used_for_privacy, used_with_rods"
cushion,,,"a_pillow, different_colours, found_on_beds, found_on_chairs, found_on_couches, has_feather_filling, has_filling, has_foam_filling, is_comfortable, is_round, is_small, is_soft, is_square, used_by_sitting_on, used_for_resting_head, used_for_sleeping"
dagger,,,"a_knife, a_weapon, has_a_blade, has_a_handle, has_a_pointed_end, has_a_sheath, is_dangerous, is_sharp, is_small, made_of_metal, used_for_cutting, used_for_drawing_blood, used_for_killing, used_in_MacBeth"
dandelion,,,"a_flower, a_plant, a_weed, beh_-_produces_pollen, causes_allergies, grows_in_grass, grows_in_the_ground, has_a_green_stem, has_a_stem, has_seeds, is_annoying, is_fluffy, is_yellow"
deer,,,"a_herbivore, a_mammal, an_animal, beh_-_runs, eg_-_bambi, has_4_legs, has_a_tail, has_a_white_tail, has_antlers, has_eyes, has_fur, has_hooves, has_legs, hunted_by_people, is_brown, is_edible, is_fast, is_timid, lives_in_wilderness, lives_in_woods"
desk,526,desk,"found_in_classrooms, found_in_libraries, found_in_offices, furniture, has_4_legs, has_a_flat_surface, has_a_surface, has_drawers, has_legs, made_of_metal, made_of_wood, used_by_students, used_for_putting_things_on, used_for_working_on, used_for_writing_on, used_with_chairs"
dish,,,"different_colours, found_in_kitchens, is_breakable, is_round, made_of_ceramic, made_of_glass, made_of_plastic, requires_washing, used_for_eating, used_for_food"
dishwasher,534,dishwasher dish washer dishwashing machine,"an_appliance, found_in_kitchens, has_a_door, has_buttons, has_racks, is_electrical, is_loud, made_of_metal, requires_detergent, requires_soap, requires_water, used_for_cleaning_dishes, used_for_washing_dishes"
dog,"153, 200, 230, 235, 238, 239, 248, 251, 252, 256","Maltese dog Maltese terrier Maltese, Tibetan terrier chrysanthemum dog, Shetland sheepdog Shetland sheep dog Shetland, German shepherd German shepherd dog German police dog alsatian, Greater Swiss Mountain dog, Bernese mountain dog, Eskimo dog husky, dalmatian coach dog carriage dog, affenpinscher monkey pinscher monkey dog, Newfoundland Newfoundland dog","a_carnivore, a_mammal, a_pet, an_animal, beh_-_barks, beh_-_chases, beh_-_chases_cats, has_4_legs, has_a_nose, has_a_tail, has_a_wet_nose, has_fur, has_hair, has_legs, is_domestic, is_friendly, is_man's_best_friend, used_for_protection"
doll,,,"a_toy, associated_with_babies, eg_-_Barbie, has_hair, has_own_clothes, is_pretty, like_a_human, made_of_porcelain, used_by_children, used_by_girls, used_for_collecting, used_for_playing"
dolphin,,,"a_fish, a_mammal, an_animal, beh_-_communicates, beh_-_does_tricks, beh_-_eats, beh_-_eats_fish, beh_-_jumps, beh_-_makes_noises, beh_-_swims, beh_-_swims_fast, has_fins, is_caught_in_nets, is_cute, is_friendly, is_grey, is_intelligent, is_sleek, is_smooth, is_trainable, lives_in_oceans, lives_in_seas, lives_in_water"
donkey,,,"a_mammal, an_animal, beh_-_makes_noises, has_4_legs, has_a_tail, has_ears, has_hooves, has_legs, is_brown, is_furry, is_grey, like_a_horse, lives_on_farms, used_by_riding"
door,799,sliding door,"has_a_handle, has_a_knob, has_a_lock, has_hinges, is_rectangular, made_of_metal, made_of_wood, used_by_closing, used_by_opening, used_for_dividing_rooms, used_for_entering, used_for_exiting, used_for_keeping_things_out"
doorknob,,,"found_on_doors, has_a_lock, is_cold, is_round, made_of_brass, made_of_metal, used_by_turning, used_for_closing_doors, used_for_opening_doors"
dove,,,"a_bird, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_feathers, has_wings, is_white, lives_in_a_nest, lives_in_trees, symbol_of_peace"
drain,,,"found_in_bathtubs, found_in_kitchens, found_in_sinks, inbeh_-_clogs, is_round, made_of_metal, used_by_connecting_to_pipes, used_for_draining_liquids, used_for_expelling_water"
drapes,,,"a_curtains, different_colours, is_decorative, is_heavy, is_long, made_of_material, used_by_closing, used_by_closing_at_night, used_by_hanging, used_by_hanging_in_windows, used_by_opening, used_for_covering, used_for_covering_windows, used_for_insulation, used_for_keeping_out_light, used_for_keeping_out_light/sun, used_for_keeping_out_sun, used_for_privacy"
dress,,,"clothing, different_colours, different_styles, has_sleeves, is_expensive, is_feminine, is_formal, is_long, is_short, made_of_material, worn_by_girls, worn_by_women, worn_for_weddings"
dresser,,,"found_in_bedrooms, furniture, has_drawers, has_handles, has_mirrors, is_heavy, is_large, is_rectangular, made_of_wood, used_for_storage, used_for_storing_clothing"
drill,740,power drill,"a_tool, has_bits, has_different_sized_drill_bits, is_electrical, is_loud, is_manual, made_by_Black_and_Decker, made_of_metal, used_for_carpentry, used_for_dentistry, used_for_making_holes"
drum,"541, 822","drum membranophone tympan, steel drum","a_musical_instrument, has_a_skin, inbeh_-_produces_bass_notes, inbeh_-_produces_beats, inbeh_-_produces_music, inbeh_-_produces_noise, is_loud, is_round, made_of_metal, requires_sticks, used_by_hitting, used_for_producing_rhythm, used_in_bands"
duck,,,"a_bird, an_animal, beh_-_eats, beh_-_flies, beh_-_lays_eggs, beh_-_migrates, beh_-_quacks, beh_-_swims, beh_-_waddles, eg_-_mallard, has_a_beak, has_a_bill, has_feathers, has_feet, has_webbed_feet, has_wings, hunted_by_people, is_edible, lives_in_ponds, lives_on_water"
dunebuggy,,,"a_car, a_vehicle, has_4_wheels, has_an_engine, has_large_wheels, has_no_roof, has_roll_bars, has_wheels, is_fast, is_fun, is_loud, used_for_transportation, used_in_deserts, used_on_beaches, used_on_sand"
eagle,22,bald eagle American eagle Haliaeetus leucocephalus,"a_bird, a_carnivore, a_predator, beh_-_builds_nests, beh_-_eats, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_claws, has_feathers, has_wings, is_bald, is_endangered, is_large, lives_in_mountains, symbol_of_freedom, symbol_of_U.S."
earmuffs,,,"associated_with_winter, different_colours, has_a_strap, is_furry, is_fuzzy/fluffy, is_round, is_soft, is_warm, worn_by_children, worn_for_protection, worn_in_cold_temperatures, worn_on_heads, worn_over_ears"
eel,390,eel,"a_fish, beh_-_swims, is_dangerous, is_edible, is_electrical, is_grey, is_long, is_slimy, like_a_snake, lives_in_oceans, lives_in_water"
eggplant,,,"a_vegetable, eaten_by_cooking, grows_in_gardens, grows_in_the_ground, has_a_green_top, has_seeds, is_edible, is_purple, is_white_inside"
elephant,"385, 386","Indian elephant Elephas maximus, African elephant Loxodonta africana","a_mammal, an_animal, beh_-_eats, beh_-_eats_peanuts, has_4_legs, has_a_tail, has_a_trunk, has_ears, has_large_ears, has_legs, has_tusks, hunted_by_people, is_grey, is_large, lives_in_Africa, lives_in_zoos, used_in_circuses"
elevator,,,"found_in_buildings, has_a_carrying_capacity, has_buttons, has_cables, has_doors, inbeh_-_goes_down, inbeh_-_goes_up, is_electrical, is_tall, like_a_box, made_of_metal, used_for_avoiding_stairs, used_for_carrying_people, used_for_transportation"
elk,,,"a_herbivore, a_mammal, an_animal, beh_-_travels_in_herds, has_4_legs, has_antlers, has_hooves, has_horns, hunted_by_people, is_brown, is_edible, is_fast, is_furry, is_large, like_a_deer, lives_in_forests"
emerald,,,"a_birth_stone, a_jewel, a_stone, found_underground, is_beautiful, is_expensive, is_green, is_precious, is_shiny, worn_as_jewelry, worn_on_necklaces, worn_on_rings"
emu,,,"a_bird, an_animal, beh_-_cannot_fly, has_a_beak, has_a_long_neck, has_a_neck, has_feathers, has_legs, has_long_legs, is_large, like_an_ostrich, lives_in_Australia"
envelope,549,envelope,"different_colours, different_sizes, has_a_seal, is_white, made_of_paper, requires_a_stamp, requires_an_address, requires_licking, used_by_sealing, used_for_posting, used_for_sending_letters"
escalator,,,"a_stairs, found_in_buildings, found_in_malls, has_handrails, has_steps, inbeh_-_goes_down, inbeh_-_goes_up, inbeh_-_moves, is_black, is_electrical, made_of_metal"
falcon,,,"a_bird, a_predator, an_animal, beh_-_builds_nests, beh_-_eats_rodents, beh_-_flies, beh_-_hunts, beh_-_lays_eggs, has_a_beak, has_eyes, has_feathers, has_talons, has_wings, is_large"
fan_(appliance),,,"different_speeds, found_in_houses, found_on_ceilings, has_a_guard, has_a_propeller, has_blades, inbeh_-_turns, is_electrical, made_of_metal, used_for_blowing_air, used_for_cooling, used_in_summer"
faucet,,,"a_tap, found_in_bathrooms, found_in_kitchens, found_over_bathtubs, found_over_sinks, has_cold_water_(left), has_hot_water_(right), has_pipes, has_taps, has_water_controls, inbeh_-_leaks, is_shiny, made_of_chrome, made_of_metal, used_for_dispensing_water, used_for_plumbing, used_for_regulating, used_for_regulating_water"
fawn,,,"a_baby_deer, a_deer, a_mammal, an_animal, beh_-_eats, beh_-_eats_grass, beh_-_eats_leaves, eg_-_bambi, has_4_legs, has_a_tail, has_eyes, has_large_eyes, has_legs, has_spots, hunted_by_people, is_beautiful, is_brown, is_cute, is_edible, is_fast, is_graceful, is_small, is_soft, is_young, lives_in_wilderness, lives_in_woods"
fence,"489, 716, 912","chainlink fence, picket fence paling, worm fence snake fence snake-rail fence Virginia fence","eg_-_metal, eg_-_picket, eg_-_wood, inbeh_-_surrounds_yards, is_climbed, is_high, is_white, made_of_metal, made_of_wood, used_for_keeping_out_intruders, used_for_privacy"
finch,"12, 14","house finch linnet Carpodacus mexicanus, indigo bunting indigo finch indigo bird Passerina cyanea","a_bird, beh_-_builds_nests, beh_-_eats, beh_-_flies, beh_-_sings, has_a_beak, has_feathers, has_wings, is_small, is_yellow"
flamingo,130,flamingo,"a_bird, an_animal, beh_-_flies, beh_-_stands_on_one_leg, has_a_beak, has_a_long_neck, has_feathers, has_long_legs, is_pink, lives_in_warm_climates, lives_on_water"
flea,,,"a_bug, an_insect, beh_-_bites, beh_-_jumps, beh_-_lays_eggs, beh_-_produces_offspring, beh_-_sucks_blood, causes_itching, is_annoying, is_black, is_hard_to_kill, is_small, lives_in_rugs, lives_on_animals, lives_on_cats, lives_on_dogs, lives_on_pets"
flute,558,flute transverse flute,"a_musical_instrument, has_holes, has_keys, inbeh_-_produces_music, is_long, is_silver, is_small, is_thin, made_of_metal, made_of_wood, used_by_blowing_air_through, used_in_bands, used_in_orchestras"
football,,,"associated_with_football_games, has_2_pointed_ends, has_laces, has_stitching, has_white_laces, inbeh_-_wobbles, is_brown, is_oval, is_round, made_of_leather, made_of_pig_skin, used_by_kicking, used_by_throwing, used_for_games, used_for_sports"
fork,,,"a_utensil, has_4_prongs, has_a_handle, has_prongs, is_sharp, made_of_metal, made_of_plastic, made_of_silver, made_of_stainless_steel, made_of_steel, part_of_table_setting, used_for_eating, used_with_knives, used_with_spoons"
fox,"277, 278, 279, 280","red fox Vulpes vulpes, kit fox Vulpes macrotis, Arctic fox white fox Alopex lagopus, grey fox gray fox Urocyon cinereoargenteus","a_carnivore, a_mammal, an_animal, beh_-_hunts, has_4_legs, has_a_tail, has_fur, has_legs, has_teeth, hunted_by_people, is_fast, is_red, is_sly, is_small, is_wild, like_a_dog, lives_in_forests"
freezer,,,"an_appliance, causes_freezer_burn, has_an_inside, has_doors, has_ice_inside, is_cold, is_electrical, is_large, is_rectangular, is_white, part_of_refrigerators, used_for_freezing, used_for_freezing_food, used_for_making_ice_cubes, used_for_preserving_food, used_for_storage, used_for_storing_food, used_for_storing_ice_cream, used_for_storing_meat"
fridge,,,"an_appliance, found_in_kitchens, has_a_freezer, has_a_light_inside, has_an_inside, has_doors, has_drawers, has_freon, has_shelves, is_cold, is_electrical, is_heavy, is_large, is_rectangular, is_white, used_for_cooling_food, used_for_keeping_food_fresh, used_for_storage, used_for_storing_food"
frog,"31, 32","tree frog tree-frog, tailed frog bell toad ribbed toad tailed toad Ascaphus trui","an_amphibian, an_animal, beh_-_croaks, beh_-_eats, beh_-_eats_flies, beh_-_eats_insects, beh_-_hops, beh_-_sits_on_lily_pads, beh_-_swims, has_a_tongue, has_eyes, has_legs, is_green, lives_in_swamps, lives_in_water, lives_on_land"
garage,,,"has_doors, is_large, made_of_wood, part_of_a_house, used_as_a_room, used_for_junk, used_for_storage, used_for_storing_cars, used_for_storing_tools"
garlic,,,"a_spice, causes_bad_breath, comes_in_bulbs, comes_in_cloves, eaten_as_seasoning, eaten_in_breads, eaten_in_spaghetti_sauce, has_skin, is_edible, is_small, is_smelly, is_strong_smelling, is_white, tastes_good, tastes_strong, used_for_Italian_cooking, used_for_prevention, used_for_repelling, used_for_repelling_dracula, used_for_repelling_vampires, used_in_cooking"
gate,,,"has_a_latch, has_a_lock, has_hinges, is_tall, made_of_metal, made_of_wood, part_of_a_fence, used_by_closing, used_by_opening, used_for_enclosing, used_for_entering, used_for_keeping_things_in, used_for_keeping_things_out, used_for_providing_boundaries"
giraffe,,,"a_mammal, an_animal, beh_-_eats_leaves, beh_-_produces_offspring, has_4_legs, has_a_long_neck, has_long_legs, has_spots, is_brown, is_orange, is_tall, is_yellow, lives_in_Africa, lives_in_zoos"
gloves,,,"a_mittens, clothing, comes_in_pairs, has_a_thumb, has_fingers, is_knitted, made_of_leather, made_of_wool, worn_for_keeping_hands_warm, worn_for_surgery, worn_for_warmth, worn_in_cold_temperatures, worn_in_winter, worn_on_hands"
goat,,,"a_mammal, an_animal, beh_-_climbs, beh_-_eats, beh_-_eats_anything, beh_-_eats_grass, beh_-_produces_milk, has_4_legs, has_a_beard, has_a_tail, has_fur, has_hooves, has_horns, has_legs, is_white, lives_in_herds, lives_in_mountains, lives_on_farms, used_for_producing_cheese, used_for_producing_milk"
goldfish,1,goldfish Carassius auratus,"a_fish, a_pet, an_animal, beh_-_eats_fish_food, beh_-_swims, has_fins, has_gills, has_scales, is_gold, is_orange, is_short_lived, is_small, lives_in_aquariums, lives_in_water"
goose,99,goose,"a_bird, an_animal, beh_-_flies, beh_-_honks, beh_-_lays_eggs, beh_-_migrates, has_a_beak, has_feathers, has_feet, has_webbed_feet, has_wings, is_edible, is_large, is_white, lives_in_Canada"
gopher,,,"an_animal, beh_-_digs_holes, has_4_legs, has_fur, has_legs, is_brown, is_small, lives_in_ground"
gorilla,366,gorilla Gorilla gorilla,"a_mammal, an_animal, associated_with_humans, beh_-_eats_bananas, beh_-_swings_from_trees, has_2_arms, has_hair, is_black, is_dangerous, is_furry, is_large, is_long, is_strong, is_violent, lives_in_jungles, lives_in_zoos"
gown,"400, 578","academic gown academic robe judge's robe, gown","a_dress, clothing, different_colours, is_elegant, is_fancy, is_long, made_of_silk, worn_by_women, worn_for_evening, worn_for_formal_occasions, worn_for_special_occasions, worn_for_weddings"
grape,,,"a_fruit, comes_in_bunches, grows_on_vines, has_no_seeds, has_seeds, has_skin, is_edible, is_green, is_juicy, is_purple, is_red, is_round, is_small, tastes_good, tastes_sweet, used_for_juice, used_for_raisins, used_for_wine"
grapefruit,,,"a_fruit, eaten_by_peeling, eaten_for_breakfast, eaten_for_dieting, grows_in_Florida, grows_on_trees, has_an_inside, has_peel, has_pulp, has_sections, has_seeds, has_vitamin_C, is_citrus, is_edible, is_juicy, is_large, is_nutritious, is_pink, is_round, is_yellow, tastes_sour, used_for_juice"
grasshopper,311,grasshopper hopper,"an_insect, beh_-_eats, beh_-_flies, beh_-_jumps, found_in_summer, has_antennae, has_legs, has_long_legs, has_wings, is_edible, is_green, is_small, lives_in_grass"
grater,,,"a_utensil, found_in_kitchens, has_a_handle, has_holes, is_sharp, is_small, made_of_metal, used_for_cutting, used_for_food, used_for_grating_cheese, used_for_shredding_things, used_for_slicing"
grenade,,,"a_weapon, an_explosive, has_a_pin, inbeh_-_explodes, inbeh_-_produces_loud_noise, is_dangerous, is_green, is_round, is_small, made_of_metal, used_by_soldiers, used_by_the_military, used_by_throwing, used_for_killing, used_in_wars"
groundhog,,,"a_rodent, an_animal, associated_with_holidays, beh_-_burrows, beh_-_digs_holes, beh_-_hibernates, beh_-_sees_its_shadow, is_brown, is_furry, is_small, lives_in_a_hole, lives_in_ground, symbol_of_spring, used_for_predicting_weather"
guitar,"402, 546","acoustic guitar, electric guitar","a_musical_instrument, associated_with_rock_and_roll, eg_-_acoustic, eg_-_electric, has_a_hole, has_strings, inbeh_-_produces_chords, inbeh_-_produces_music, made_of_wood, requires_a_pick, used_in_bands"
gun,413,assault rifle assault gun,"a_weapon, eg_-_rifle, has_a_trigger, inbeh_-_fires, inbeh_-_fires_bullets, is_black, is_dangerous, is_loud, made_of_metal, used_by_the_police, used_for_crimes, used_for_hunting, used_for_killing, used_for_protection, used_for_shooting, used_for_war"
guppy,,,"a_fish, beh_-_swims, eaten_by_fish, is_small, lives_in_aquariums, lives_in_water"
hammer,587,hammer,"a_tool, found_in_toolboxes, has_a_clefted_head/claw, has_a_handle, has_a_head, has_a_metal_head, has_a_wooden_handle, is_heavy, is_loud, made_of_metal, made_of_wood, used_for_carpentry, used_for_construction, used_for_pounding, used_for_pounding_nails, used_for_pulling_nails"
hamster,333,hamster,"a_mammal, a_pet, a_rodent, an_animal, beh_-_drinks, beh_-_drinks_water, beh_-_eats, beh_-_runs_on_wheels, has_a_tail, has_fur, is_brown, is_small, is_soft, lives_in_cages"
hare,331,hare,"a_herbivore, a_rabbit, an_animal, beh_-_eats_carrots, beh_-_hops, beh_-_jumps, has_4_legs, has_a_tail, has_big_ears, has_ears, has_fur, has_legs, hunted_by_people, is_brown, is_fast, is_small, is_white, lives_in_forests"
harmonica,593,harmonica mouth organ harp mouth harp,"a_musical_instrument, inbeh_-_produces_different_sounds, is_small, made_of_metal, used_by_blowing_air_through, used_for_music"
harp,"593, 594","harmonica mouth organ harp mouth harp, harp","a_musical_instrument, associated_with_angels, has_strings, inbeh_-_produces_music, is_large, made_of_wood, used_by_plucking, used_for_classical_music"
harpoon,,,"a_weapon, found_on_boats, has_a_pointed_end, is_long, is_sharp, made_of_metal, used_by_shooting, used_for_hunting, used_for_killing, used_for_killing, used_for_killing_whales"
harpsichord,,,"a_musical_instrument, has_strings, inbeh_-_produces_music, inbeh_-_produces_sound, is_large, made_of_wood"
hatchet,596,hatchet,"a_tool, an_axe, has_a_handle, is_sharp, is_small, made_of_metal, used_for_chopping, used_for_cutting"
