norm,norm (language),num. concepts,concepts
is_round,is round,76,"apple, ashtray, ball, balloon, banana, banjo, barrel, baton, beets, bin_(waste), biscuit, blueberry, bowl, bracelet, bucket, cabbage, cantaloupe, cap_(bottle), cherry, cigarette, clock, coconut, coin, crown, cushion, dish, doorknob, drain, drum, earmuffs, football, grape, grapefruit, grenade, honeydew, hose, mandarin, marble, medal, nectarine, onions, orange, pan, peach, pearl, peas, peg, pen, pickle, pie, pipe_(plumbing), plate, plum, pot, pumpkin, racquet, radish, rattle, rice, ring_(jewelry), rocket, saucer, skillet, stone, stool_(furniture), strainer, table, tangerine, thermometer, tomato, tray, turnip, umbrella, urn, wand, wheel"
is_sharp,is sharp,18,"axe, bayonet, chisel, dagger, fork, grater, harpoon, hatchet, hook, knife, machete, pin, razor, scissors, spear, sword, tack, tomahawk"
is_shiny,is shiny,15,"armour, buckle, chain, chandelier, coin, emerald, faucet, knife, mirror, pearl, ring_(jewelry), saxophone, sword, tack, trumpet"
is_silver,is silver,8,"armour, chain, flute, key, pin, spoon, tack, thimble"
is_slimy,is slimy,10,"eel, iguana, perch, salamander, sardine, seaweed, snail, squid, toad, worm"
is_slow,is slow,7,"porcupine, scooter, snail, tortoise, tractor, tricycle, turtle"
is_small,is small,121,"ant, apartment, bat_(animal), beans, bedroom, beetle, bin_(waste), biscuit, blueberry, bluejay, boat, bolts, box, bridge, buckle, budgie, bullet, bungalow, butterfly, cabin, cage, calf, canary, cap_(bottle), caterpillar, cherry, chickadee, chipmunk, closet, cockroach, coin, comb, cottage, crab, cranberry, cushion, dagger, fawn, finch, flea, flute, fox, garlic, goldfish, gopher, grape, grasshopper, grater, grenade, groundhog, guppy, hamster, hare, harmonica, hatchet, house, housefly, hut, inn, key, lime, mandarin, marble, mat, mink, minnow, mole_(animal), moth, mouse, mouse_(computer), mushroom, nectarine, olive, parakeet, pearl, peas, peg, penguin, perch, pin, pistol, plum, pony, porcupine, prune, rabbit, raccoon, radish, raisin, raspberry, rat, rice, robin, sailboat, salamander, sardine, scooter, screws, shack, shed, shrimp, skunk, snail, sparrow, spider, squirrel, starling, stone, stool_(furniture), strawberry, tack, tangerine, thimble, toad, tricycle, trolley, turtle, walnut, wasp, whistle, worm"
is_smelly,is smelly,16,"ashtray, barn, bin_(waste), cabbage, cedar, cigar, cigarette, cow, garlic, pig, pipe_(smoking), sardine, seaweed, socks, trout, tuna"
is_smooth,is smooth,8,"dolphin, magazine, marble, nectarine, pearl, rock, seal, stone"
is_soft,is soft,27,"avocado, banana, bed, blouse, bread, camisole, carpet, cheese, couch, cushion, earmuffs, fawn, hamster, lamb, mink, mink_(coat), napkin, nightgown, pajamas, peach, pear, pillow, robe, scarf, slippers, sofa, strawberry"
is_square,is square,6,"box, cushion, napkin, raft, table, tray"
is_strong,is strong,8,"ant, armour, chain, gorilla, horse, oak, ox, rope"
is_tall,is tall,12,"birch, bookcase, building, cedar, elevator, gate, giraffe, oak, pine, pyramid, skyscraper, stool_(furniture)"
is_thin,is thin,16,"belt, bracelet, canoe, comb, flute, hose, nylons, pen, pencil, pin, rope, skis, spear, stick, tie, whip"
is_transparent,is transparent,6,"bottle, hose_(leggings), jar, nylons, tape_(scotch), veil"
is_ugly,is ugly,10,"beetle, buzzard, cockroach, crow, hyena, octopus, ostrich, rat, toad, vulture"
is_useful,is useful,6,"bag, pliers, shelves, tack, tape_(scotch), wheelbarrow"
is_warm,is warm,14,"bed, cap_(hat), cloak, coat, earmuffs, house, jacket, mink_(coat), nightgown, pajamas, parka, robe, shawl, sweater"
is_white,is white,51,"ambulance, bathtub, bear, birch, bra, bread, cabbage, camisole, cauliflower, cheese, chipmunk, cigarette, coconut, cow, dove, envelope, fence, freezer, fridge, garlic, goat, goose, hare, keyboard_(musical), lamb, limousine, mouse, mushroom, napkin, onions, pear, pearl, pelican, penguin, piano, pillow, plate, raccoon, rat, rice, rooster, seagull, sheep, shrimp, skunk, stork, swan, toilet, turnip, veil, zebra"
is_white_inside,is white inside,5,"coconut, cucumber, eggplant, radish, zucchini"
is_yellow,is yellow,27,"apple, banana, beans, beehive, bus, canary, cheese, cheetah, chickadee, corn, crane_(machine), dandelion, finch, giraffe, grapefruit, honeydew, hornet, lemon, onions, pear, peas, pencil, pineapple, raisin, taxi, tractor, wasp"
lives_in_Africa,lives in Africa,7,"cheetah, elephant, giraffe, lion, ostrich, tiger, zebra"
lives_in_deserts,lives in deserts,6,"buzzard, camel, coyote, iguana, rattlesnake, vulture"
lives_in_forests,lives in forests,9,"bear, cougar, coyote, elk, fox, hare, owl, porcupine, skunk"
lives_in_ground,lives in ground,5,"ant, gopher, groundhog, mole_(animal), worm"
lives_in_jungles,lives in jungles,7,"chimp, cougar, gorilla, lion, panther, python, tiger"
lives_in_oceans,lives in oceans,10,"clam, crab, dolphin, eel, lobster, octopus, shrimp, squid, tuna, whale"
lives_in_trees,lives in trees,6,"caterpillar, chipmunk, dove, owl, squirrel, woodpecker"
lives_in_water,lives in water,32,"alligator, beaver, catfish, clam, cod, crab, crocodile, dolphin, eel, frog, goldfish, guppy, lobster, mackerel, minnow, octopus, otter, perch, platypus, salamander, salmon, sardine, seal, shrimp, squid, toad, tortoise, trout, tuna, turtle, walrus, whale"
lives_in_wilderness,lives in wilderness,9,"bear, caribou, cougar, coyote, deer, fawn, lion, moose, tiger"
lives_in_zoos,lives in zoos,9,"chimp, elephant, giraffe, gorilla, lion, ostrich, peacock, tiger, zebra"
lives_on_farms,lives on farms,12,"calf, chicken, cow, donkey, goat, horse, lamb, pig, pony, rooster, sheep, turkey"
made_of_brass,made of brass,5,"doorknob, saxophone, trombone, trumpet, tuba"
made_of_brick,made of brick,5,"apartment, building, bungalow, house, wall"
made_of_ceramic,made of ceramic,7,"bathtub, bowl, cup, dish, mug, plate, toilet"
made_of_cotton,made of cotton,12,"apron, blouse, bra, camisole, coat, nightgown, pajamas, robe, shawl, shirt, socks, sweater"
made_of_different_materials,made of different materials,6,"coat, pants, robe, sack, skirt, swimsuit"
made_of_glass,made of glass,14,"ashtray, blender, bottle, chandelier, cup, dish, jar, lantern, marble, mirror, plate, pot, tank_(container), thermometer"
made_of_gold,made of gold,6,"bracelet, crown, medal, necklace, ring_(jewelry), tuba"
made_of_leather,made of leather,13,"belt, boots, coat, couch, football, gloves, jacket, muzzle, saddle, sandals, shoes, slippers, whip"
made_of_material,made of material,18,"bag, belt, blouse, bra, camisole, couch, curtains, drapes, dress, mat, nylons, pants, shirt, shoes, skirt, socks, tie, trousers"
made_of_metal,made of metal,133,"airplane, anchor, armour, bat_(baseball), baton, bazooka, bench, bike, bin_(waste), bolts, bookcase, bracelet, bridge, brush, bucket, buckle, buggy, building, bullet, cage, cannon, cap_(bottle), cart, chain, chisel, clamp, clarinet, coin, colander, comb, corkscrew, crane_(machine), crowbar, dagger, desk, dishwasher, door, doorknob, drain, drill, drum, elevator, escalator, fan_(appliance), faucet, fence, flute, fork, gate, grater, grenade, gun, hammer, harmonica, harpoon, hatchet, helicopter, hoe, hook, jet, kettle, key, knife, ladle, lantern, machete, medal, microscope, missile, oven, pan, peg, pen, pin, pipe_(plumbing), pistol, pliers, plug_(electric), pot, racquet, rake, razor, revolver, rifle, ring_(jewelry), rocket, saxophone, scissors, scooter, screwdriver, screws, shack, shed, shelves, shield, shotgun, shovel, sink, skillet, sled, sledgehammer, sleigh, spade, spatula, spoon, stool_(furniture), stove, strainer, submarine, sword, tack, tank_(army), tank_(container), tap, thimble, toaster, tongs, tractor, train, tray, tricycle, tripod, trolley, trumpet, tuba, typewriter, umbrella, urn, wagon, wheel, wheelbarrow, whistle, wrench"
made_of_paper,made of paper,10,"bag, banner, book, card_(greeting), envelope, kite, magazine, menu, napkin, plate"
made_of_plastic,made of plastic,51,"ashtray, bag, balloon, banner, bin_(waste), blender, bottle, bow_(weapon), bowl, broom, brush, bucket, buckle, cap_(bottle), colander, comb, cup, dish, fork, helmet, hook, hose, jar, kettle, kite, ladle, menu, mouse_(computer), peg, pen, pipe_(plumbing), plate, plug_(electric), raft, rattle, ruler, sandals, scissors, shelves, sled, sleigh, spatula, spoon, strainer, tank_(container), telephone, thimble, tongs, tray, umbrella, whistle"
made_of_porcelain,made of porcelain,6,"cup, doll, plate, saucer, sink, toilet"
made_of_rubber,made of rubber,7,"balloon, boots, hose, mat, raft, spatula, wheel"
made_of_silk,made of silk,6,"blouse, camisole, gown, nightgown, pajamas, tie"
made_of_silver,made of silver,7,"bracelet, coin, crown, fork, medal, necklace, ring_(jewelry)"
made_of_steel,made of steel,6,"bolts, clamp, fork, knife, pliers, sword"
made_of_wood,made of wood,79,"banjo, barn, barrel, basket, bat_(baseball), baton, bench, board_(wood), boat, bookcase, bow_(weapon), box, bridge, broom, building, bureau, cabin, cabinet, canoe, cart, catapult, cello, chair, clarinet, cork, cottage, crossbow, cupboard, desk, door, dresser, fence, flute, garage, gate, guitar, hammer, harp, harpsichord, house, hut, kite, ladle, level, oak, paintbrush, peg, pencil, piano, pier, pipe_(smoking), racquet, raft, rake, rocker, ruler, shack, shed, shelves, shield, ship, skateboard, skis, sled, sledgehammer, sleigh, slingshot, spatula, spear, spoon, stick, stool_(furniture), surfboard, table, tomahawk, violin, wagon, wall, wheelbarrow"
made_of_wool,made of wool,9,"carpet, coat, gloves, mittens, scarf, shawl, socks, sweater, trousers"
requires_drivers,requires drivers,5,"bus, car, limousine, taxi, truck"
requires_gasoline,requires gasoline,6,"car, limousine, motorcycle, tractor, truck, van"
tastes_good,tastes good,33,"avocado, banana, biscuit, blueberry, broccoli, cake, cantaloupe, cauliflower, celery, cheese, coconut, crab, garlic, grape, honeydew, lobster, mandarin, nectarine, olive, parsley, peach, pear, peas, perch, pickle, pie, plum, raspberry, shrimp, strawberry, trout, tuna, zucchini"
tastes_sour,tastes sour,8,"apple, cranberry, grapefruit, lemon, lime, pickle, raspberry, rhubarb"
tastes_sweet,tastes sweet,24,"apple, blueberry, cake, cantaloupe, cherry, coconut, corn, cranberry, grape, honeydew, mandarin, nectarine, orange, peach, pear, pickle, pineapple, plum, prune, raisin, raspberry, strawberry, tangerine, yam"
used_by_blowing_air_through,used by blowing air through,7,"clarinet, flute, harmonica, trombone, trumpet, tuba, whistle"
used_by_children,used by children,13,"balloon, crayon, doll, kite, marble, pony, scooter, skateboard, sled, slingshot, toy, tricycle, wagon"
used_by_people,used by people,10,"bathtub, boat, bridge, brush, buggy, building, cathedral, helicopter, submarine, trombone"
used_by_riding,used by riding,7,"bike, camel, donkey, horse, pony, skateboard, tricycle"
used_by_shooting,used by shooting,5,"gun, harpoon, pistol, rifle, slingshot"
used_by_sitting_on,used by sitting on,8,"bench, chair, couch, cushion, rocker, saddle, sofa, stool_(furniture)"
used_by_the_military,used by the military,5,"bazooka, grenade, jeep, missile, tank_(army)"
used_by_the_police,used by the police,7,"bullet, gun, helicopter, pistol, revolver, shotgun, whistle"
used_by_throwing,used by throwing,7,"ball, football, grenade, rock, spear, stone, tomahawk"
used_by_turning,used by turning,5,"doorknob, screwdriver, screws, tap, wrench"
used_for_cargo,used for cargo,5,"cart, ship, truck, van, wagon"
used_for_carpentry,used for carpentry,8,"clamp, drill, hammer, level, pliers, sandpaper, screwdriver, screws"
used_for_carrying_things,used for carrying things,9,"bag, basket, bucket, buggy, sack, trailer, tray, trolley, wheelbarrow"
used_for_cleaning,used for cleaning,5,"apron, broom, brush, napkin, rake"
used_for_construction,used for construction,12,"board_(wood), bolts, brick, cedar, crane_(machine), hammer, level, rock, screws, sledgehammer, stone, wheelbarrow"
used_for_cooking,used for cooking,13,"apron, ladle, microwave, mixer, oven, pan, pepper, pot, skillet, spatula, stove, strainer, toaster"
used_for_cutting,used for cutting,9,"axe, dagger, grater, hatchet, knife, machete, razor, scissors, sword"
used_for_eating,used for eating,5,"bowl, dish, fork, plate, spoon"
used_for_fishing,used for fishing,5,"boat, hook, pier, spear, worm"
used_for_food,used for food,7,"bowl, dish, grater, oven, plate, skillet, tray"
used_for_holding_things,used for holding things,14,"bag, basket, bottle, bowl, bucket, cage, jar, mug, sack, tank_(container), trailer, tray, urn, wheelbarrow"
used_for_holding_things_together,used for holding things together,8,"bolts, buckle, chain, clamp, pin, screws, tack, tape_(scotch)"
used_for_holding_water,used for holding water,5,"bathtub, kettle, pipe_(plumbing), sink, tank_(container)"
used_for_hunting,used for hunting,8,"bow_(weapon), crossbow, gun, harpoon, rifle, shotgun, slingshot, spear"
used_for_juice,used for juice,7,"cranberry, grape, grapefruit, lemon, orange, pineapple, prune"
used_for_killing,used for killing,19,"axe, bayonet, bazooka, bomb, bow_(weapon), bullet, crossbow, dagger, grenade, gun, harpoon, knife, missile, pistol, revolver, rifle, shotgun, slingshot, spear"
used_for_moving_things,used for moving things,5,"box, crane_(machine), trolley, van, wheelbarrow"
used_for_music,used for music,6,"bagpipe, banjo, cello, harmonica, saxophone, trumpet"
used_for_passengers,used for passengers,10,"airplane, bus, car, jet, limousine, ship, subway, taxi, train, van"
used_for_playing,used for playing,5,"ball, doll, kite, marble, toy"
used_for_protection,used for protection,9,"dog, gun, pistol, revolver, shell, shield, tent, umbrella, wall"
used_for_sleeping,used for sleeping,5,"bed, couch, cushion, pillow, sofa"
used_for_sports,used for sports,7,"ball, bat_(baseball), bow_(weapon), football, racquet, sailboat, whistle"
used_for_storage,used for storage,18,"barn, barrel, basement, bookcase, box, bureau, cabinet, cellar, closet, cupboard, dresser, freezer, fridge, garage, shack, shed, shelves, tank_(container)"
used_for_transportation,used for transportation,33,"airplane, ambulance, bike, boat, buggy, bus, camel, canoe, car, dunebuggy, elevator, helicopter, horse, jet, motorcycle, raft, sailboat, scooter, ship, skateboard, sleigh, submarine, subway, taxi, train, tricycle, trolley, truck, unicycle, van, wagon, wheelbarrow, yacht"
used_for_war,used for war,12,"bazooka, bomb, cannon, catapult, gun, missile, rifle, shield, submarine, sword, tank_(army), tomahawk"
used_in_bands,used in bands,9,"banjo, clarinet, drum, flute, guitar, saxophone, trombone, trumpet, tuba"
used_in_circuses,used in circuses,5,"cannon, elephant, lion, tiger, unicycle"
used_in_orchestras,used in orchestras,6,"clarinet, flute, trombone, trumpet, tuba, violin"
used_on_water,used on water,7,"canoe, raft, ship, skis, submarine, surfboard, yacht"
worn_around_neck,worn around neck,6,"apron, chain, medal, necklace, scarf, tie"
worn_by_men,worn by men,6,"cap_(hat), pants, shirt, swimsuit, tie, trousers"
worn_by_women,worn by women,18,"apron, blouse, bra, camisole, dress, gown, hose_(leggings), leotards, mink_(coat), necklace, nightgown, nylons, pants, shawl, shirt, skirt, swimsuit, veil"
worn_for_covering_body,worn for covering body,8,"boots, coat, nylons, pants, robe, shoes, swimsuit, trousers"
worn_for_protection,worn for protection,8,"apron, armour, boots, coat, earmuffs, helmet, shoes, thimble"
worn_for_wamth,worn for wamth,17,"boots, cape, coat, gloves, hose_(leggings), jacket, mittens, pants, robe, scarf, shawl, shirt, slippers, socks, sweater, trousers, vest"
worn_in_winter,worn in winter,8,"boots, coat, gloves, jacket, mittens, parka, scarf, sweater"
worn_on_feet,worn on feet,6,"boots, sandals, shoes, skis, slippers, socks"
